ID,Name,Location
718,Soduim phosphate monobasic monohydrate NaH2PO4,Chemical cabinet 663
717,Sodium tungstate dihydrate,Chemical drawer 663
716,Sodium thioglycolate,Back -20 663
715,Sodium tetraborate decahydrate,Large chemical cabinet 663
714,Sodium taurodeoxycholate ,Chemical drawer 663
713,Sodium taurocholate,Chemical cabinet 663
712,Sodium taurochenodeoxycholate hydrate,Chemical drawer 663
711,Sodium taurochenodeoxycholate,Chemical drawer 663
710,Sodium sulfite anhydrous,Chemical cabinet 663
709,Sodium sulfide nonahydrate,Fridge 663
708,Sodium sulfate ,Fume hood 663
707,Sodium succinate dibasic hexahydrate,Chemical cabinet 663
706,Sodium selenite,Chemical drawer 663
705,Sodium pyrophosphate 10-hydrate,Chemical cabinet 663
704,Sodium polyphosphate,Chemical cabinet 663
703,Sodium phosphate monobasic monohydrate,Large chemical cabinet 663
702,Sodium phosphate dibasic anhydrous,Chemical cabinet 663
701,Sodium n-octyl sulfate,Chemical drawer 663
700,Sodium nitrite,Chemical cabinet 663
699,Sodium nitrate,Chemical cabinet 663
698,Sodium molybdate dihydrate,Chemical drawer 663
697,Sodium L-tartrate dibasic dihydrate,Chemical cabinet 663
696,Sodium hydroxide,Large chemical cabinet 663
695,Sodium glycodeoxycholate,Chemical drawer 663
694,Sodium glycocholate hydrate,Chemical drawer 663
693,Sodium glychochenodeoxycholate,Chemical drawer 663
692,Sodium formate,Chemical cabinet and drawer 663
691,Sodium fluoride,Chemical cabinet 663
690,Sodium dodecyl sulfate (SDS),Chemical cabinet and large cabinet 663
689,Sodium Deoxycholate,Chemical drawer 663
688,Sodium citrate dihydrate,Chemical cabinet 663
687,Sodium chloride crystal,Annie's bench 607
685,Sodium chloride,Chemical cabinet Fume hood and large chemical cabinet 663 and Annie's bench 607
684,Sodium bicarbonate,Chemical cabinet Fume hood Large chemical cabinet and Armando's bench 663
683,Sodium azide,Chemical cabinet and drawer 663
682,Sodium acetate anhydrous,Chemical cabinet 663
681,SOB medium,Annie's bench 607
680,Skim milk,Fridge 663
679,Silver sulfate,Chemical drawer 663
678,Serine hydroxamate,Side -20 663
676,Saccarin sodium,Chemical cabinet 663
675,Rubidium chloride,Chemical drawer and fridge 663
674,Rifampicin,Side -20 663
673,Ribose,Chemical drawer 663
672,Riboflavin 5'-phosphate sodium salt hydrate,Side -20 663
671,Riboflavin,Chemical cabinet fume hood 663
670,Resazurin sodoim salt,Chemical drawer 663
669,Reinforced clostridial medium,Chemical cabinet 663
668,Raffinose pentahydrate,Chemical cabinet 663
667,Quercentin Dihyrdrate,Chemical drawer 663
666,Pyridoxine HCl,Chemical drawer 663
665,Pyridoxamine dihydrochloride,Chemical drawer 663
664,Pyridoxal HCl,Side -20 663
662,Pyridoxal 5'-phosphate,Side -20 663
661,Proteose peptone no.3 bacto,Chemical cabinet 663
660,Proteinase K,Side -20 663
659,Proline,Chemical drawer and fume hood 663
658,Power bead solution,Jenny's bench 663
657,Potato dextrose agar,Chemical cabinet 663
656,Potassium-L-aspartate,Chemical cabinet 663
655,Potassium tetraborate tetrahydrate,Chemical cabinet 663
654,Potassium phosphate monobasic KH2PO4,Chemical cabinet and fume hood 663
653,Potassium phosphate dibasic K2HPO4,Chemical cabinet and fume hood 663
652,Potassium hydroxide,Chemical cabinet 663
651,Potassium cyanide,Chemical drawer 663
650,Potassium chloride,Chemical cabinet 663
649,Potassium carbonate,Chemical cabinet 663
648,Potassium acetate,Chemical cabinet 663
647,Ponceau S,Chemical drawer 663
646,Polygalacturonic acid 25g,Chemical drawer 663
645,Polyethylene glycol,Chemical cabinet 663
644,Phenylalanine,Chemical cabinet and drawer and fume hoof 663
643,Phenanthroline,Chemical drawer 663
642,Peptone from casein pancreatic digest,Chemical cabinet and Armando's bench 663
641,Peptone 140,Chemical cabinet 663
639,Pepsin from porcine gastric mucsa,Side -20 663
638,Pectin from apple,chemical drawer 663
637,Pantothenic Acid Hemi-Calcium salt,Fridge 663
636,Pantothenic Acid Calcium Salt Hydrate,chemical drawer 663
635,Pancreatin from porcine pancreas,Side -20 663
634,Palmitic acid,chemical drawer 663
633,Orotic Acid,Chemical cabinet and drawer 663
632,Oleic acid,Fume hood 661
631,Ofloxacin,Fridge 663
630,Nα-p-Tosyl-L-arginine methyl ester hydrochloride,Side -20 663
629,Nutrient broth Difco,Chemical cabinet 663
628,Novobiocin sodium salt,Fridge 663
627,Nitrophenyl-β-D glucoranide,Side -20 663
626,Nitrophenyl β-D galactopyranoside,Side -20 663
625,Nitrilotriacetic acid,Chemical cabinet 663 
624,Nisin from Lactococcus lactis,Fridge 663
623,Nicotinic acid,Chemical drawer 663
622,Nicotinamide,Chemical cabinet 663
621,Nickel (II) chloride,Chemical drawer 663
620,Neutralization buffer,Fridge 663
619,Nalidixic acid sodium salt,Chemical drawer 663
618,Nalidixic Acid,Chemical drawer 663
617,Muscimol,Fridge 663
616,Mucin from porcine stomach,Fridge 663
615,Mucic acid,Fume hood 663
614,MOPS,Annie's bench 607
613,Minimal salts 5x,Chemical cabinet 663
612,Metronidazole,Fridge 663
611,Methylumbelliferyl-β-D-glucuronide,Fridge 663
610,Methyl-a-D-glucopyranoside,Chemical cabinet 663
609,Methionine,Chemical cabinet drawer Fume hood and Fridge 663
608,Methanol,Fridge 607
606,MES hydrate,Chemical cabinet 663
605,Mercaptoethanol,607 Fume hood
604,Menadione,Chemical drawer and fume hood663
603,Meat extract ,Fume hood 663
602,Mannose,Chemical drawer 663
601,Mannitol,Large chemica cabinet 663
600,Manganese (II) sulfate tetrahydrate,Chemical cabinet and drawer 663
599,Manganese (II) sulfate monohydrate,Fridge 663
598,Manganese (II) chloride tetrahydrate,Chemical cabinet 663
597,Maltose monohydrate,Chemical cabinet and fume hood 663
596,Maltodextrin,Chemical cabinet and Armondo's Bench 663
595,Malachite Green Oxalate Salt,Chemical drawer 663
594,Magnesium sulfate heptahydrate,Chemical drawrer and fume hood 663
593,Magnesium sulfate,Chemcial cabinet 663
592,Magnesium chloride,Chemical cabinet 663
591,Magnesium acetate tetrahydrate,Chemical cabinet 663
590,MacConkey broth,Chemical cabinet 663
589,MacConkey agar base,Chemical cabinet 663
588,MacConkey agar,Chemical cabinet 663
587,M17 broth,Chemical cabinet 663
586,Lyticase from arthrobacter luteus,Fridge 663
585,Lysozyme,Back -20 663
584,Lysine monohydrochloride,Chemical cabinet and drawer 663
583,Lysine hydrate,Fume hood 663
582,Luria agar base Miller,Annie's bench 607
581,Lithium chloride,Chemical cabinet 663
580,Lithium acetate,Chemical cabinet 663
579,Lipoic acid,Chemical drawer 663
578,Lincomycin HCl,Side -20 663
577,Leucine,Chemical drawer and fume hood 663
576,Lechithin,Jenny's bench 663
575,Lactose,Chemical cabinet 663
574,Lactobacilli MRS broth,Fridge 663 Fridge 607
573,Lactobacilli MRS agar,Fridge 663 Fridge 607
572,Lactic acid solution 30% in water by weight,Fridge 663
677,L Serine,Chemical drawer and fume hood 663
536,L Glutamic acid,Chemicasl drawer 663
429,L Asparagine,Chemical drawer and fume hood 663
405,L Alanine,Chemical cabinet and drawer and fume hood 663
571,Kethoxal,Side -20 663
570,Kasugamycin,Fridge 663
569,Kanamycin sulfate,Chemical drawer and fridge 663
568,Isopropyl-B-D-Thiogalactopyranoside,Side -20 663
567,Isoleucine,Chemical drawer and fume hood 663
566,Iron (II) sulfate heptahydrate,Chemical cabinet 663
565,Iron (II) chloride,Chemical drawer 663
564,Iodoacetamide,Fridge and side -20 663
563,Inulin from dahlia tubers,Chemical cabinet 663
562,Inulin,Chemical cabinet and fume hood 663
561,Inosine,Chemical drawer 663
560,Indomethacin,Chemical drawer 663
559,Imidazole,Chemical cabinet 663
558,Hydroxyurea,Fridge 663
557,Hydroxyphenyl Acetic acid,Chemical cabinet 663
556,Hydroxyl-L-proline,Chemical drawer 663
555,Hydroxylamine Hydrochloride,Chemical drawer 663
554,Histidine,Chemical drawer and fume hood 663
553,HEPES buffer,Fridge 663
552,HEPES,Chemical cabinet 663
551,Hemin,Fridge 663
550,Guar gum,chemical cabinet
549,Guanosine 5'-diphosphate,Side -20 663
548,Guanosine 5'-[8-thio] triphosphate tetralithium salt,Chemical cabinet 663
547,Guanine HCl,Chemical drawer 663
546,Guanidine thiocyanate solution,Chemical drawer 663
545,Guanidine hydrochloride,Chemical cabinet 663
544,Glycine,Chemical cabinet Fume hood and large chemical cabinet 663
543,Glycerophosphate disodium salt hydrate,Chemical cabinet 663
542,Glycerol,Chemical cabinet and Armando's bench 663
541,Glutathione reduced,Back -20 663
540,Glutathione oxidized,Side -20 663
539,Glutaraldehyde solution,Back -20 663
538,Glutamine,Chemical drawer and fume hood 663
537,Glutamic acid monosodium salt hydrate,Chemical cabinet 663
535,Glucuronic acid,Chemical drawer 663
534,Glucose-6-phosphate disodium salt hydrate,Back -20 663
533,Glucosamine 25g,Side -20 663
532,Gentomycin sulfate,Fridge 663
531,Gelatin from porcine skin type A,Chemical drawer 663
530,Gelatin from bovine skin,Chemical cabinet 663
529,Galactose minimum,Chemical drawer 663
528,Galactose,Chemical cabinet and fume hood 663
527,Galactosamine,Fridge 663
526,Fusidic acid sodium salt,Fridge 663
525,Fucose,Chemical drawer and fume hood 663
524,Fructose,Chemical cabinet and fume hood 663
523,Folic Acid,Chemical drawer and fume hood 663
522,Fluorouridine,Chemical drawer 663
521,Fluorouracil,Chemical drawer 663
520,Flumequine,Chemical drawer 663
519,Ferrous sulfate,Chemical cabinet 663
518,Ferric chloride anhydrous,Chemical cabinet 663
517,Ethyl methane sulfonate,Fridge 663
516,Ethidium bromide,Chemical drawer 663
515,Ethanol,Everywhere
514,Estradiol,Chemical drawer 663
513,Erythromycin,Chemical drawer 663
512,Epinephrine,Fridge 663
511,Enterococcosel broth,Annie's Bench 663
510,Enterococcosel agar,Fridge 607
509,Enrofloaxin,Chemical drawer 663
508,Elliker broth,Chemical cabinet 663
507,EGTA,Chemical cabinet and drawer 663
506,EDTA disodium salt dihydrate,Chemical cabinet 663
505,Dodecanoic acid,Jenny's bench 663
504,DNA from herring sperm,Fridge 663
503,Dithiothreitol (DTT),Fridge and back -20 663
502,Dinitrophenyihydrazine,Chemical drawer 663
501,Dimethylbenzimidazole,Chemical cabinet 663
500,Dihdrofolic acid dyhydrate,Back -20 663
499,Dextrose anhydrous,Large chemical cabinet and fume hood 663
498,Deoxyridine 5 - monophosphate dissodium salt,Back -20 663
497,Deoxyribonuclease,Back freezer 663
496,Deoxycholic acid minimum 99%,Chemical cabinet 663
495,Denatonium benzoate,Chemical drawer 663
494,Decoyinine,Fridge 663
493,Decanal,Fridge 663
492,Daptomycin,Side -20 663
491,Dantrolene sodium salt,Chemical drawer 663
428,D Asparagine,Chemical drawer 663
404,D Alanine,Chemical drawer 663
490,Cytidine 5'-monophosphate,Side -20 663
489,Cytidine 3'-monophosphate,Side -20 663
488,Cytidine,Chemical drawer fridge 663
487,Cytarabine,Fridge 663
486,Cysteine HCl Anhydrous,Chemical drawer 663
485,Cysteine,Chemical drawer 663
484,Cycloserine,Fridge 663
483,Copper (II) sulfate pentahydrate,Chemical drawer 663
482,Copper (II) chloride,Chemical drawer 663
481,Columbia broth,Chemical drawer 663
480,Columbia blood agar,Chemical cabinet 663
479,Columbia agar MLT,Chemical cabinet 663
478,Colistin Sulfate,Fridge 663
477,Cobalt (II) chloride hexahydrae,Chemical drawer 663
476,Clostridien agar,Chemical cabinet 663
475,Clindamycin phosphate,Fridge 663
474,Citric acid anhydrous,Chemical cabinet 663
473,Ciprofloxacin,Chemical drawer 663
472,Choline chloride,Chemical drawer 663
471,Cholesterol,Chemical cabinet and Hood 663
470,Chlorpheninamine maleate,Chemical drawer 663
469,Chloroform,607 Fume hood
468,Chloric acid sodium salt,Chemical drawer 663
467,Chloramphenicol,Chemical drawer 663
466,Cellobiose,Chemical cabinet and fume hood 663
465,Ceftriaxone disodium salt hemi(heptahydrate),Fridge 663
464,Cefoperazone sodium salt ,Fridge 663
463,Cefaclor,Fridge back and side -20 663
462,Catalase from bovine liver,Side -20 663
461,Casitone bacto,Chemical cabinet 663
460,Casein from bovine milk,Chemical cabinet 663
459,Casamino acids ,Chemical cabinet 663
458,Carbonate-bicarbonare buffer,Chemical drawer 663
457,Carbenicillin disodium salt,Chemical drawer and fridge 663
456,Calcium nitrate tetrahydrate,Chemical cabinet 663
455,Calcium nitrate ,Chemical cabinet 663
454,Calcium chloride dihydrate,Chemical cabinet  and fume hood 663
453,Calcein,Chemical cabinet 663
452,Butyldimethylsilyl-N-methyltrifluoroacetamide,Fridge 663
451,BRUCELLA MEDIUM BASE 500G,Chemical cabinet 663
450,Brucella broth,Annie's bench 607
449,Bromouracil,Chemical drawer 663
448,Bromothymol blue,Chemical drawer 663
447,Bromophenol Blue Sodium Salt,Chemical drawer 663
446,Bromocresol Purple,Chemical drawer 663
445,Brilliant Blue (Coomasie),Chemical drawer 663
444,Brain heart infusion broth,Chemical cabinet and fume hood 663 and Annie's bench 607
443,Boric acid,Chemical cabinet 663
442,Bis tris,Chemical cabinet 663
441,Biotin,Chemical drawer and fridge 663
440,Bile extract porcine,Chemical cabinet 663
439,Bile bovine and ovine,Chemical cabinet 663
438,Bile bovine,chemical cabinet and fume hood 663
437,Bicine,Chemical drawer 663
436,Betaine,Chemical drawer 663
435,Beef exract powder,Chemical cabinet 663
434,Bacto agar,Chemical cabinet 663 and Annie's Bench 607
433,AZIDE BLOOD AGAR BASE ,Chemical cabinet 663
432,Axtreonam,Fridge 663
431,Aspartic acid,Chemical drawer and fume hood663
430,Aspartame,Chemical cabinet 663
427,Asolectin from soybean,Fidge 663
426,Ascorbic Acid,Chemical drawer 663
425,Arginine hydroxamate HCl,Side -20 663E
424,Arginine,Chemical drawer and fume hood 663
423,Arabinose,Chemical drawer 663
422,Arabinogalactan 1kg,Large chemical cabinet and fume hood 663
421,Ampramycin sulfate salt,Fridge 663
420,Ampicillin sodium salt,Fridge 663
419,Ampicillin,Fridge 663
418,Ammonium sulfate,Chemical cabinet and fume hood 663
417,Ammonium Persulfate,Chemical drawer 663
416,Ammonium citrate tribasic,Chemical drawer 663
415,Ammonium citrate dibasic,Chemical drawer 663
414,Ammonium chloride,Chemical cabinet 663
413,Ammonium carbonate,Chemical cabinet 663
412,Ammonium 15N2 sulfate,Chemical drawer 663
411,Aminophenylmercuric acetate,Chemical drawer 663
410,Amino-gamma-butrolacetone HCL,Chemical drawer 663
409,Aminocaprylic acid,Chemical drawer 663
408,Aminobenzoic Acid,Chemical drawer Fume hood and fridge 663
407,Amberlite IRA-67,Chemical cabinet 663
406,Albumin from chicken egg white,Fridge 663
403,Agarose RA,Chemical cabinet 663 
402,Agarose low melt,Chemical cabinet and drawer 663
401,Agar noble,Chemical cabinet 663
400,Agar bacteria grade,Chemcial cabinet 663
399,Adenine Sulfate,Chemical drawer 663
398,Activated charcoal,Large chemical cabinet 663
397,Acid-hydrolyzed casein (certain vitamins reduced or eliminated),Chemical cabinet 663
396,Acetylneuraminic acid hydrate,Back -20 663
395,Acetone,607T Fume hood
394,Acesulfame potassium,Chemical drawer 663
393,(1-Naphthyl) ethylenediamine dihydrochloride,Chemical drawer 663
